# ell,D_ell
762,1.2878910820e+03
763,1.2904527924e+03
764,1.2931498276e+03
765,1.2959846221e+03
766,1.2989596102e+03
767,1.3020623696e+03
768,1.3053027630e+03
769,1.3086609398e+03
770,1.3121541911e+03
771,1.3157700945e+03
772,1.3195036560e+03
773,1.3233647383e+03
774,1.3273409192e+03
775,1.3314346330e+03
776,1.3356557425e+03
777,1.3399992536e+03
778,1.3444676008e+03
779,1.3490632183e+03
780,1.3537811124e+03
781,1.3586311455e+03
782,1.3636008956e+03
783,1.3687002252e+03
784,1.3739167120e+03
785,1.3792527905e+03
786,1.3846960382e+03
787,1.3902563180e+03
788,1.3959286358e+03
789,1.4017005693e+03
790,1.4075894097e+03
791,1.4135827345e+03
792,1.4196904065e+03
793,1.4259074317e+03
794,1.4322362445e+03
795,1.4386718509e+03
796,1.4452241137e+03
797,1.4518954673e+03
798,1.4586809175e+03
799,1.4655903273e+03
800,1.4726187025e+03
801,1.4797675239e+03
802,1.4870418854e+03
803,1.4944236423e+03
804,1.5019169349e+03
805,1.5095036184e+03
806,1.5171729763e+03
807,1.5249217207e+03
808,1.5327465633e+03
809,1.5406367879e+03
810,1.5485891062e+03
811,1.5566002304e+03
812,1.5646817289e+03
813,1.5728228854e+03
814,1.5810278401e+03
815,1.5893007333e+03
816,1.5976382770e+03
817,1.6060297547e+03
818,1.6144718784e+03
819,1.6229539316e+03
820,1.6314651979e+03
821,1.6399949609e+03
822,1.6485399325e+03
823,1.6570893962e+03
824,1.6656474925e+03
825,1.6742183615e+03
826,1.6827987152e+03
827,1.6913926938e+03
828,1.6999970093e+03
829,1.7086232303e+03
830,1.7172680688e+03
831,1.7259282366e+03
832,1.7345930174e+03
833,1.7432516947e+03
834,1.7519084088e+03
835,1.7605450149e+03
836,1.7691507966e+03
837,1.7777298942e+03
838,1.7862864480e+03
839,1.7948023131e+03
840,1.8033039150e+03
841,1.8117805372e+03
842,1.8202363199e+03
843,1.8286679751e+03
844,1.8370944998e+03
845,1.8454903209e+03
846,1.8538670070e+03
847,1.8622064132e+03
848,1.8705126800e+03
849,1.8787750908e+03
850,1.8869829293e+03
851,1.8951473439e+03
852,1.9032555170e+03
853,1.9113090676e+03
854,1.9193021864e+03
855,1.9272513491e+03
856,1.9351358896e+03
857,1.9429722836e+03
858,1.9507547217e+03
859,1.9584773945e+03
860,1.9661344927e+03
861,1.9737276353e+03
862,1.9812435846e+03
863,1.9886913879e+03
864,1.9960578074e+03
865,2.0033370338e+03
866,2.0105381145e+03
867,2.0176403834e+03
868,2.0246454595e+03
869,2.0315549617e+03
870,2.0383556523e+03
871,2.0450491504e+03
872,2.0516370748e+03
873,2.0581061880e+03
874,2.0644655372e+03
875,2.0707093130e+03
876,2.0768391345e+03
877,2.0828491923e+03
878,2.0887559620e+03
879,2.0945387777e+03
880,2.1002066866e+03
881,2.1057464510e+03
882,2.1111671182e+03
883,2.1164554506e+03
884,2.1216056388e+03
885,2.1266193017e+03
886,2.1314906301e+03
887,2.1362138144e+03
888,2.1407979022e+03
889,2.1452222272e+03
890,2.1495032652e+03
891,2.1536277785e+03
892,2.1575973860e+03
893,2.1614062785e+03
894,2.1650635031e+03
895,2.1685483939e+03
896,2.1718774266e+03
897,2.1750373634e+03
898,2.1780298233e+03
899,2.1808564253e+03
900,2.1835113600e+03
901,2.1859892654e+03
902,2.1883014253e+03
903,2.1904447141e+03
904,2.1924160062e+03
905,2.1942196044e+03
906,2.1958523832e+03
907,2.1973260736e+03
908,2.1986301217e+03
909,2.1997688302e+03
910,2.2007390737e+03
911,2.2015451549e+03
912,2.2021913764e+03
913,2.2026746129e+03
914,2.2029917386e+03
915,2.2031396280e+03
916,2.2031300123e+03
917,2.2029523374e+03
918,2.2026034779e+03
919,2.2020951647e+03
920,2.2014242725e+03
921,2.2005802471e+03
922,2.1995748198e+03
923,2.1984122933e+03
924,2.1970746853e+03
925,2.1955811554e+03
926,2.1939211495e+03
927,2.1920989704e+03
928,2.1901189210e+03
929,2.1879778756e+03
930,2.1856727086e+03
931,2.1832002945e+03
932,2.1805723644e+03
933,2.1777783644e+03
934,2.1748225972e+03
935,2.1717019372e+03
936,2.1684132589e+03
937,2.1649608651e+03
938,2.1613416301e+03
939,2.1575598568e+03
940,2.1536049911e+03
941,2.1494887643e+03
942,2.1452006224e+03
943,2.1407448681e+03
944,2.1361183759e+03
945,2.1313254486e+03
946,2.1263555322e+03
947,2.1212203578e+03
948,2.1159093716e+03
949,2.1104194478e+03
950,2.1047623178e+03
951,2.0989282678e+03
952,2.0929183740e+03
953,2.0867419813e+03
954,2.0803935778e+03
955,2.0738899367e+03
956,2.0672255462e+03
957,2.0604097512e+03
958,2.0534370397e+03
959,2.0463167566e+03
960,2.0390582468e+03
961,2.0316559984e+03
962,2.0241193562e+03
963,2.0164502369e+03
964,2.0086505568e+03
965,2.0007222325e+03
966,1.9926671804e+03
967,1.9844947455e+03
968,1.9761994158e+03
969,1.9677905363e+03
970,1.9592700234e+03
971,1.9506323652e+03
972,1.9418869067e+03
973,1.9330355642e+03
974,1.9240876828e+03
975,1.9150303221e+03
976,1.9058728270e+03
977,1.8966245424e+03
978,1.8872799564e+03
979,1.8778409855e+03
980,1.8683169746e+03
981,1.8587024118e+03
982,1.8489992136e+03
983,1.8392092965e+03
984,1.8293420054e+03
985,1.8193918283e+03
986,1.8093606820e+03
987,1.7992579110e+03
988,1.7890780037e+03
989,1.7788228765e+03
990,1.7684944459e+03
991,1.7580946284e+03
992,1.7476327689e+03
993,1.7370959271e+03
994,1.7265008763e+03
995,1.7158346762e+03
996,1.7051066718e+03
997,1.6943187794e+03
998,1.6834729157e+03
999,1.6725635688e+03
1000,1.6616000834e+03
1001,1.6505700044e+03
1002,1.6394925300e+03
1003,1.6283576297e+03
1004,1.6171775585e+03
1005,1.6059422859e+03
1006,1.5946714952e+03
1007,1.5833551559e+03
1008,1.5720055229e+03
1009,1.5606274226e+03
1010,1.5492108246e+03
1011,1.5377754122e+03
1012,1.5263111549e+03
1013,1.5148228792e+03
1014,1.5033302683e+03
1015,1.4918158634e+03
1016,1.4802993477e+03
1017,1.4687855476e+03
1018,1.4572644328e+03
1019,1.4457482580e+03
1020,1.4342418497e+03
1021,1.4227426059e+03
1022,1.4112553530e+03
1023,1.3997700608e+03
1024,1.3883064123e+03
1025,1.3768469489e+03
1026,1.3654113537e+03
1027,1.3539895965e+03
1028,1.3425865035e+03
1029,1.3312217580e+03
1030,1.3198779013e+03
1031,1.3085746165e+03
1032,1.2973018733e+03
1033,1.2860793548e+03
1034,1.2748970307e+03
1035,1.2637671558e+03
1036,1.2526796998e+03
1037,1.2416320607e+03
1038,1.2306439217e+03
1039,1.2197052525e+03
1040,1.2088134510e+03
1041,1.1979807722e+03
1042,1.1872046140e+03
1043,1.1764823745e+03
1044,1.1658337367e+03
1045,1.1552486705e+03
1046,1.1447320023e+03
1047,1.1342885583e+03
1048,1.1239231651e+03
1049,1.1136332206e+03
1050,1.1034235514e+03
1051,1.0932913306e+03
1052,1.0832402605e+03
1053,1.0732738185e+03
1054,1.0633954821e+03
1055,1.0535938719e+03
1056,1.0438798938e+03
1057,1.0342495969e+03
1058,1.0247064586e+03
1059,1.0152465279e+03
1060,1.0058807107e+03
1061,9.9660505603e+02
1062,9.8742304131e+02
1063,9.7833071565e+02
1064,9.6933155646e+02
1065,9.6042161284e+02
1066,9.5161179056e+02
1067,9.4289071036e+02
1068,9.3427670637e+02
1069,9.2575097097e+02
1070,9.1733183830e+02
1071,9.0900792909e+02
1072,9.0079014912e+02
1073,8.9266711912e+02
1074,8.8464974488e+02
1075,8.7673407547e+02
1076,8.6893101669e+02
1077,8.6122918926e+02
1078,8.5363949896e+02
1079,8.4615056653e+02
1080,8.3878072610e+02
1081,8.3151859841e+02
1082,8.2436766088e+02
1083,8.1733139095e+02
1084,8.1041326605e+02
1085,8.0360933526e+02
1086,7.9692307602e+02
1087,7.9035796575e+02
1088,7.8391005355e+02
1089,7.7758281684e+02
1090,7.7137973305e+02
1091,7.6530427962e+02
1092,7.5935250563e+02
1093,7.5352788852e+02
1094,7.4783390571e+02
1095,7.4227403464e+02
1096,7.3684432438e+02
1097,7.3155568074e+02
1098,7.2640415277e+02
1099,7.2138578958e+02
1100,7.1651892528e+02
1101,7.1178410344e+02
1102,7.0719641400e+02
1103,7.0274058469e+02
1104,6.9843105665e+02
1105,6.9425255759e+02
1106,6.9020467193e+02
1107,6.8629441246e+02
1108,6.8250650691e+02
1109,6.7885539638e+02
1110,6.7532580862e+02
1111,6.7192475639e+02
1112,6.6864439578e+02
1113,6.6549173955e+02
1114,6.6245894378e+02
1115,6.5954559289e+02
1116,6.5675127132e+02
1117,6.5407556349e+02
1118,6.5151805382e+02
1119,6.4907089839e+02
1120,6.4673368162e+02
1121,6.4451341629e+02
1122,6.4240225847e+02
1123,6.4039979260e+02
1124,6.3851303143e+02
1125,6.3672670271e+02
1126,6.3504039085e+02
1127,6.3346853698e+02
1128,6.3200329718e+02
1129,6.3063682752e+02
1130,6.2938356913e+02
1131,6.2822824972e+02
1132,6.2717788208e+02
1133,6.2623205064e+02
1134,6.2538291146e+02
1135,6.2463747733e+02
1136,6.2399533266e+02
1137,6.2344863354e+02
1138,6.2300439273e+02
1139,6.2266219467e+02
1140,6.2240676708e+02
1141,6.2225997944e+02
1142,6.2220655946e+02
1143,6.2225351993e+02
1144,6.2239301692e+02
1145,6.2263206320e+02
1146,6.2297024321e+02
1147,6.2340714136e+02
1148,6.2393491374e+02
1149,6.2456057311e+02
1150,6.2528370391e+02
1151,6.2610341465e+02
